Committee_Code,Parent_Committee_Name,Subcommittee_Name,Mapped_Sectors,Mapped_Industries,Is_General_Jurisdiction,Exclude_From_Analysis
SSVA,Senate Committee on Veterans' Affairs,,Healthcare,Healthcare Plans; Medical Care Facilities; Health Information Services; Drug Manufacturers - General; Medical Devices; REIT - Healthcare Facilities; Medical Instruments & Supplies,False,False
SSBU,Senate Committee on the Budget,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU,Senate Committee on the Judiciary,,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-1,Senate Committee on the Judiciary,"Antitrust, Competition Policy and Consumer Rights",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-4,Senate Committee on the Judiciary,"Immigration, Refugees and Border Security",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-23,Senate Committee on the Judiciary,"Privacy, Technology and the Law",Technology,Broad/General Jurisdiction,False,False
SSJU-21,Senate Committee on the Judiciary,"the Constitution, Civil Rights and Human Rights",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-2,Senate Committee on the Judiciary,Administrative Oversight and the Courts,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-22,Senate Committee on the Judiciary,Crime and Terrorism,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SLET,Senate Select Committee on Ethics,,Broad/General Jurisdiction,Exclude,True,True
SLIN,Senate Select Committee on Intelligence,,Industrials; Technology,Exclude,False,True
SPAG,Senate Special Committee on Aging,,Healthcare; Real Estate,Exclude,False,True
SCNC,United States Senate Caucus on International Narcotics Control,,,Exclude,False,True
HSSY-18,"House Committee on Science, Space, and Technology",Environment Subcommittee,Industrials; Technology; Utilities,Pollution & Treatment Controls; Waste Management; Specialty Chemicals,False,False
HSSY-15,"House Committee on Science, Space, and Technology",Research and Technology Subcommittee,Industrials; Technology,Software - Infrastructure; Software - Application; Semiconductors; Semiconductor Equipment & Materials; Biotechnology; Scientific & Technical Instruments,False,False
HSJU-05,House Committee on the Judiciary,"Regulatory Reform, Commercial, and Antitrust Law Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSAP-02,Senate Committee on Appropriations,Department of Defense Subcommittee,Industrials,Broad/General Jurisdiction,False,False
SSAP-01,Senate Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Basic Materials; Consumer Defensive; Healthcare; Real Estate,Broad/General Jurisdiction,False,False
SSAP-08,Senate Committee on Appropriations,Legislative Branch Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSBK-05,"Senate Committee on Banking, Housing, and Urban Affairs",National Security and International Trade and Finance Subcommittee,Financial Services; Real Estate,Banks - Diversified; Financial Conglomerates; Security & Protection Services,False,False
SSBK-09,"Senate Committee on Banking, Housing, and Urban Affairs","Housing, Transportation, and Community Development Subcommittee",Financial Services; Industrials; Real Estate,Banks - Diversified; Banks - Regional; Capital Markets; Asset Management; Credit Services; Insurance - Property & Casualty; Insurance - Life; Insurance - Diversified; Insurance Brokers; REIT - Residential; REIT - Mortgage; Real Estate Services; Real Estate - Development; Financial Conglomerates,False,False
SSBK-08,"Senate Committee on Banking, Housing, and Urban Affairs",Financial Institutions and Consumer Protection Subcommittee,Financial Services; Real Estate,Specialty Retail; Internet Retail; Credit Services,False,False
SSBK-04,"Senate Committee on Banking, Housing, and Urban Affairs","Securities, Insurance, and Investment Subcommittee",Financial Services; Real Estate,Capital Markets; Financial Data & Stock Exchanges; Asset Management; Credit Services,False,False
SSCM-01,"Senate Committee on Commerce, Science, and Transportation","Aviation Operations, Safety, and Security Subcommittee",Communication Services; Consumer Cyclical; Industrials; Technology,Airlines; Airports & Air Services; Aerospace & Defense,False,False
SSEG-04,Senate Committee on Energy and Natural Resources,National Parks Subcommittee,Basic Materials; Energy; Utilities,Lumber & Wood Production; Agricultural Inputs; Resorts & Casinos; Leisure,False,False
SSEG-01,Senate Committee on Energy and Natural Resources,Energy Subcommittee,Basic Materials; Energy; Utilities,Oil & Gas Integrated; Oil & Gas E&P; Oil & Gas Midstream; Utilities - Regulated Electric; Utilities - Regulated Gas; Solar; Utilities - Renewable; Oil & Gas Equipment & Services,False,False
SSEG-03,Senate Committee on Energy and Natural Resources,"Public Lands, Forests, and Mining Subcommittee",Basic Materials; Energy; Utilities,Gold; Copper; Uranium; Other Precious Metals & Mining; Other Industrial Metals & Mining; Steel; Aluminum; Thermal Coal; Metal Fabrication,False,False
SSEG-07,Senate Committee on Energy and Natural Resources,Water and Power Subcommittee,Basic Materials; Energy; Utilities,Utilities - Regulated Water; Marine Shipping; Engineering & Construction,False,False
SSEV-10,Senate Committee on Environment and Public Works,Clean Air and Nuclear Safety Subcommittee,Industrials; Utilities,Utilities - Regulated Electric; Solar; Utilities - Renewable; Pollution & Treatment Controls; Specialty Chemicals,False,False
SSEV-09,Senate Committee on Environment and Public Works,"Superfund, Toxics and Environmental Health Subcommittee",Healthcare; Industrials; Real Estate; Utilities,Drug Manufacturers - General; Drug Manufacturers - Specialty & Generic; Biotechnology; Healthcare Plans; Medical Devices; Diagnostics & Research; Medical Care Facilities; Health Information Services; REIT - Healthcare Facilities,False,False
SSEV-16,Senate Committee on Environment and Public Works,Green Jobs and the New Economy Subcommittee,Industrials; Utilities,Utilities - Regulated Electric; Utilities - Regulated Gas; Waste Management; Pollution & Treatment Controls; Engineering & Construction; Building Materials; Uranium; Specialty Chemicals; Paper & Paper Products; Steel; Aluminum,False,False
SSEV-18,Senate Committee on Environment and Public Works,Oversight Subcommittee,Industrials; Utilities,Utilities - Regulated Electric; Utilities - Regulated Gas; Waste Management; Pollution & Treatment Controls; Engineering & Construction; Building Materials; Uranium; Specialty Chemicals; Paper & Paper Products; Steel; Aluminum,False,False
SSEV-08,Senate Committee on Environment and Public Works,Transportation and Infrastructure Subcommittee,Basic Materials; Industrials; Utilities,Engineering & Construction; Building Materials; Railroads; Trucking,False,False
SSEV-15,Senate Committee on Environment and Public Works,Water and Wildlife Subcommittee,Industrials; Utilities,Utilities - Regulated Electric; Utilities - Regulated Gas; Waste Management; Pollution & Treatment Controls; Engineering & Construction; Building Materials; Uranium; Specialty Chemicals; Paper & Paper Products; Steel; Aluminum,False,False
SSFI-02,Senate Committee on Finance,"Social Security, Pensions, and Family Policy Subcommittee",Financial Services,Healthcare Plans; Medical Care Facilities; Staffing & Employment Services,False,False
SSFR-02,Senate Committee on Foreign Relations,East Asian and Pacific Affairs Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSFR-07,Senate Committee on Foreign Relations,Near Eastern and South and Central Asian Affairs Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSFR-06,Senate Committee on Foreign Relations,Western Hemisphere and Global Narcotics Affairs Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSFR-01,Senate Committee on Foreign Relations,European Affairs Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSFR-09,Senate Committee on Foreign Relations,African Affairs Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSHR-09,"Senate Committee on Health, Education, Labor, and Pensions",Children and Families Subcommittee,Healthcare; Real Estate,Education & Training Services; Healthcare Plans; Medical Care Facilities,False,False
SSGA-01,Senate Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations Subcommittee,,Broad/General Jurisdiction,False,False
SSGA-15,Senate Committee on Homeland Security and Governmental Affairs,Financial and Contracting Oversight Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSGA-16,Senate Committee on Homeland Security and Governmental Affairs,the Efficiency and Effectiveness of Federal Programs and the Federal Workforce Subcommittee,,Broad/General Jurisdiction,False,False
SSGA-17,Senate Committee on Homeland Security and Governmental Affairs,"Emergency Management, Intergovernmental Relations, and the District of Columbia Subcommittee",,Broad/General Jurisdiction,False,False
SSJU-01,Senate Committee on the Judiciary,"Antitrust, Competition Policy and Consumer Rights Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-04,Senate Committee on the Judiciary,"Immigration, Refugees and Border Security Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-25,Senate Committee on the Judiciary,"Oversight, Federal Rights and Agency Action Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-24,Senate Committee on the Judiciary,Bankruptcy and the Courts Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSII-15,House Committee on Natural Resources,Oversight and Investigations Subcommittee,Basic Materials; Energy,Drug Manufacturers - General; Oil & Gas Integrated; Biotechnology; Telecom Services; Utilities - Regulated Electric,False,False
HLIG-01,House Permanent Select Committee on Intelligence,Central Intelligence Agency Subcommittee,Industrials; Technology,Exclude,False,True
HLIG-02,House Permanent Select Committee on Intelligence,National Security Agency and Cybersecurity Subcommittee,Healthcare; Industrials; Technology,Exclude,False,True
HLIG-03,House Permanent Select Committee on Intelligence,Emerging Threats Subcommittee,Industrials; Technology,Exclude,False,True
HLIG-04,House Permanent Select Committee on Intelligence,Department of Defense Intelligence and Overhead Architecture Subcommittee,Industrials; Technology,Exclude,False,True
HLZI,House Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,,,Exclude,False,True
SSFR-15,Senate Committee on Foreign Relations,"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy Subcommittee",Energy; Industrials; Utilities,Broad/General Jurisdiction,False,False
SSFR-14,Senate Committee on Foreign Relations,"State Department and USAID Management, International Operations, and Bilateral International Development Subcommittee",Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSGA-18,Senate Committee on Homeland Security and Governmental Affairs,Federal Spending Oversight and Emergency Management Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSGA-19,Senate Committee on Homeland Security and Governmental Affairs,Regulatory Affairs and Federal Management Subcommittee,,Broad/General Jurisdiction,False,False
HSBA-01,House Committee on Financial Services,Terrorism and Illicit Finance Subcommittee,Financial Services,Banks - Diversified; Financial Conglomerates; Security & Protection Services,False,False
HSVR-11,House Committee on Veterans' Affairs,Technology Modernization Subcommittee,Healthcare; Technology,Health Information Services; Software - Application; Information Technology Services,False,False
SSAS-21,Senate Committee on Armed Services,Cybersecurity Subcommittee,Healthcare; Industrials; Technology,Aerospace & Defense; Software - Infrastructure; Information Technology Services; Electronic Components; Scientific & Technical Instruments; Biotechnology,False,False
HSED-07,House Committee on Education and Labor,Civil Rights and Human Services Subcommittee,,Education & Training Services; Staffing & Employment Services; Healthcare Plans; Medical Care Facilities; REIT - Healthcare Facilities,False,False
HSBA-13,House Committee on Financial Services,Diversity and Inclusion Subcommittee,Financial Services,Banks - Diversified; Banks - Regional; Capital Markets; Asset Management; Credit Services; Insurance - Property & Casualty; Insurance - Life; Insurance - Diversified; Insurance Brokers; Insurance - Specialty; Insurance - Reinsurance; Financial Data & Stock Exchanges; Financial Conglomerates; REIT - Mortgage,False,False
HSGO-02,House Committee on Oversight and Reform,Civil Rights and Civil Liberties Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-05,House Committee on Oversight and Reform,Economic and Consumer Policy Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSRU-05,House Committee on Rules,Expedited Procedures Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HLIG-06,House Permanent Select Committee on Intelligence,Defense Intelligence and Warfighter Support Subcommittee,Industrials; Technology,Exclude,False,True
HLIG-10,House Permanent Select Committee on Intelligence,Strategic Technologies and Advanced Research Subcommittee,Industrials; Technology,Exclude,False,True
HSCN,House Select Committee on the Climate Crisis,,,Exclude,False,True
HSMH,House Select Committee on the Modernization of Congress,,,Exclude,False,True
SSCM-28,"Senate Committee on Commerce, Science, and Transportation",Aviation and Space Subcommittee,Communication Services; Consumer Cyclical; Industrials; Technology,Airlines; Airports & Air Services; Aerospace & Defense,False,False
SSCM-31,"Senate Committee on Commerce, Science, and Transportation",Security Subcommittee,Communication Services; Consumer Cyclical; Industrials; Technology,Telecom Services; Communication Equipment; Airlines; Railroads; Trucking; Integrated Freight & Logistics; Consumer Electronics; Software - Application; Internet Content & Information; Advertising Agencies; Broadcasting; Scientific & Technical Instruments,False,False
SSCM-32,"Senate Committee on Commerce, Science, and Transportation",Transportation and Safety Subcommittee,Communication Services; Consumer Cyclical; Industrials; Technology,Telecom Services; Communication Equipment; Airlines; Railroads; Trucking; Integrated Freight & Logistics; Consumer Electronics; Software - Application; Internet Content & Information; Advertising Agencies; Broadcasting; Scientific & Technical Instruments,False,False
SSCM-29,"Senate Committee on Commerce, Science, and Transportation","Manufacturing, Trade, and Consumer Protection Subcommittee",Communication Services; Consumer Cyclical; Industrials; Technology,Specialty Retail; Internet Retail; Credit Services,False,False
SSCM-30,"Senate Committee on Commerce, Science, and Transportation","Science, Oceans, Fisheries, and Weather Subcommittee",Basic Materials; Communication Services; Consumer Cyclical; Industrials; Technology,Utilities - Regulated Water; Waste Management; Engineering & Construction,False,False
SSJU-26,Senate Committee on the Judiciary,Intellectual Property Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSAS-35,House Committee on Armed Services,"Cyber, Innovative Technologies, and Information Systems Subcommittee",Healthcare; Industrials; Technology,Aerospace & Defense; Software - Infrastructure; Information Technology Services; Electronic Components; Scientific & Technical Instruments; Biotechnology,False,False
HSSM-22,House Committee on Small Business,"Innovation, Entrepreneurship, and Workforce Development Subcommittee",Healthcare; Technology,Broad/General Jurisdiction,False,False
HSEF,House Select Committee on Economic Disparity and Fairness in Growth,,,Exclude,False,True
HSIJ,House Select Committee to Investigate the January 6th Attack on the United States Capitol,,,Exclude,False,True
HSVC,House Select Subcommittee on the Coronavirus Crisis,,,Exclude,False,True
SSCM-33,"Senate Committee on Commerce, Science, and Transportation","Aviation Safety, Operations, and Innovation Subcommittee",Communication Services; Consumer Cyclical; Healthcare; Industrials; Technology,Airlines; Airports & Air Services; Aerospace & Defense,False,False
SSCM-34,"Senate Committee on Commerce, Science, and Transportation","Communications, Media, and Broadband Subcommittee",Communication Services; Consumer Cyclical; Industrials; Technology,Telecom Services; Communication Equipment; Internet Content & Information; Software - Application; Advertising Agencies; Broadcasting,False,False
SSCM-35,"Senate Committee on Commerce, Science, and Transportation","Consumer Protection, Product Safety, and Data Security Subcommittee",Communication Services; Consumer Cyclical; Industrials; Technology,Specialty Retail; Internet Retail; Credit Services,False,False
SSCM-38,"Senate Committee on Commerce, Science, and Transportation","Surface Transportation, Maritime, Freight, and Ports Subcommittee",Communication Services; Consumer Cyclical; Industrials; Technology,Marine Shipping; Integrated Freight & Logistics,False,False
SSCM-36,"Senate Committee on Commerce, Science, and Transportation","Oceans, Fisheries, Climate Change, and Manufacturing Subcommittee",Basic Materials; Communication Services; Consumer Cyclical; Industrials; Technology,Utilities - Regulated Electric; Solar; Utilities - Renewable; Pollution & Treatment Controls; Specialty Chemicals,False,False
SSCM-39,"Senate Committee on Commerce, Science, and Transportation","Tourism, Trade, and Export Promotion Subcommittee",Communication Services; Consumer Cyclical; Industrials; Technology,Airlines; Lodging; Travel Services; Resorts & Casinos; REIT - Hotel & Motel,False,False
SSCM-37,"Senate Committee on Commerce, Science, and Transportation",Space and Science Subcommittee,Communication Services; Consumer Cyclical; Industrials; Technology,Telecom Services; Communication Equipment; Airlines; Railroads; Trucking; Integrated Freight & Logistics; Consumer Electronics; Software - Application; Internet Content & Information; Advertising Agencies; Broadcasting; Scientific & Technical Instruments,False,False
SSGA-22,Senate Committee on Homeland Security and Governmental Affairs,Government Operations and Border Management Subcommittee,,Broad/General Jurisdiction,False,False
SSGA-20,Senate Committee on Homeland Security and Governmental Affairs,Emerging Threats and Spending Oversight Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
SSJU-28,Senate Committee on the Judiciary,"Privacy, Technology, and the Law Subcommittee",Technology,Broad/General Jurisdiction,False,False
SSJU-27,Senate Committee on the Judiciary,Human Rights and the Law Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSBA-10,House Committee on Financial Services,"National Security, Illicit Finance, and International Financial Institutions Subcommittee",Financial Services,Banks - Diversified; Banks - Regional; Credit Services; Financial Conglomerates,False,False
HSBA-21,House Committee on Financial Services,"Digital Assets, Financial Technology and Inclusion Subcommittee",Financial Services; Technology,Financial Data & Stock Exchanges; Software - Application; Capital Markets,False,False
HSFA-06,House Committee on Foreign Affairs,"Global Health, Global Human Rights, and International Organizations Subcommittee",Healthcare; Real Estate,Broad/General Jurisdiction,False,False
HSHA-27,House Committee on House Administration,Modernization Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-12,House Committee on Oversight and Accountability,"Cybersecurity, Information Technology, and Government Innovation Subcommittee",Healthcare; Technology,Broad/General Jurisdiction,False,False
HSSM-21,House Committee on Small Business,"Rural Development, Energy, and Supply Chains Subcommittee",Energy; Utilities,Broad/General Jurisdiction,False,False
HSJU-13,House Committee on the Judiciary,Responsiveness and Accountability to Oversight Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSZS,House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,,,Exclude,False,True
HSFD,House Select Subcommittee on the Weaponization of the Federal Government,,,Exclude,False,True
HSZT,House Task Force on the Attempted Assassination of Donald J. Trump,,,Exclude,False,True
HSFA-19,House Committee on Foreign Affairs,South and Central Asia Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-33,House Committee on Oversight and Government Reform,Federal Law Enforcement Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HSGO-16,House Committee on Oversight and Government Reform,Delivering on Government Efficiency Subcommittee,Broad/General Jurisdiction,Broad/General Jurisdiction,True,False
HLIG-11,House Permanent Select Committee on Intelligence,Open Source Intelligence Subcommittee,Industrials; Technology,Exclude,False,True
HSQJ,"House Select Subcommittee to Investigate the Remaining Questions Surrounding January 6, 2021",,,Exclude,False,True
SSBK-13,"Senate Committee on Banking, Housing, and Urban Affairs",Digital Assets Subcommittee,Financial Services; Real Estate,Financial Data & Stock Exchanges; Software - Application; Capital Markets,False,False
